qct_id,official_qct_050,E100,E050,Q100,Q050
010730111110,0,0,0,0,0
010730112050,0,0,0,0,0
010730112060,0,0,0,0,0
010730112070,0,0,0,0,0
010730112080,0,0,0,0,0
010730112090,1,1,1,1,1
010730112100,0,0,0,0,0
010730113010,0,0,0,0,0
010730113020,0,0,0,0,0
010730114000,0,0,0,0,0
010730115000,0,0,0,0,0
010730116000,0,0,0,0,0
010730117030,0,0,0,0,0
010730117040,0,0,0,0,0
010730117050,0,0,0,0,0
010730117060,0,0,0,0,0
010730118020,0,0,0,0,0
010730118030,0,0,0,0,0
010730118040,0,0,0,0,0
010730119010,1,1,1,1,1
010730119040,0,0,0,0,0
010730120010,0,0,0,0,0
010730120020,0,0,0,0,0
010730121030,0,0,0,0,0
010730121040,0,0,0,0,0
010730122000,0,0,0,0,0
010730123020,0,0,0,0,0
010730123040,0,0,0,0,0
010730123050,0,0,0,0,0
010730124010,0,0,0,0,0
010730124020,0,0,0,0,0
010730124030,0,0,0,0,0
010730125000,0,0,0,0,0
010730126020,0,0,0,0,0
010730127010,0,0,0,0,0
010730127030,0,0,0,0,0
010730127040,0,0,0,0,0
010730128020,0,0,0,0,0
010730128030,0,0,0,0,0
010730129050,0,0,0,0,0
010730129060,0,0,0,0,0
010730129070,0,0,0,0,0
010730129080,0,0,0,0,0
010730129100,0,0,0,0,0
010730129110,0,0,0,0,0
010730129120,1,1,1,1,1
010730129130,0,0,0,0,0
010730129140,0,0,0,0,0
010730129150,0,0,0,0,0
010730130020,1,1,1,1,1
010730131000,1,1,1,1,1
010730132000,0,0,0,0,0
010730133000,1,1,1,1,1
010730134000,0,0,0,0,0
010730136010,1,1,1,1,1
010730138010,1,1,1,1,1
010730139010,0,0,0,0,0
010730139020,0,0,0,0,0
010730140010,0,0,0,0,0
010730140020,0,0,0,0,0
010730141020,0,0,0,0,0
010730141040,0,0,0,0,0
010730141050,0,0,0,0,0
010730142030,0,0,0,0,0
010730142040,0,0,0,0,0
010730143010,0,0,0,0,0
010730143020,0,0,0,0,0
010730144040,0,0,0,0,0
010730144050,0,0,0,0,0
010730144060,0,0,0,0,0
010730144080,0,0,0,0,0
010730144090,0,0,0,0,0
010730144100,0,0,0,0,0
010730144120,0,0,0,0,0
010730144130,0,0,0,0,0
010750300000,0,0,0,0,0
010750301000,0,0,0,0,0
010750302000,0,0,0,0,0
010770101000,1,1,1,1,1
010770102000,1,1,1,1,1
010770103000,1,1,1,1,1
010770104000,0,0,0,0,0
010770106000,1,1,1,1,1
010770107000,1,1,1,1,1
010770108000,1,1,1,1,1
010770109000,0,0,0,0,0
010770110000,1,1,1,1,1
010770111010,0,0,0,0,0
010770111020,0,0,0,0,0
010770112000,0,0,0,0,0
010770113000,0,0,0,0,0
010770114000,0,0,0,0,0
010770115010,0,0,0,0,0
010770115020,0,0,0,0,0
010770116020,0,0,0,0,0
010770116030,0,0,0,0,0
010770116040,0,0,0,0,0
010770117000,0,0,0,0,0
010770118010,0,0,0,0,0
010770118020,0,0,0,0,0
010799791000,0,0,0,0,0
010799792000,0,0,0,0,0
010799793000,0,0,0,0,0
010799794000,0,0,0,0,0
010799795000,0,0,0,0,0
010799796000,0,0,0,0,0
010799797000,0,0,0,0,0
010799798000,0,0,0,0,0
010799799000,0,1,0,1,0
010810402000,0,1,1,0,0
010810403000,1,1,1,1,1
010810404000,0,1,1,0,0
010810405000,0,0,0,0,0
010810406020,1,1,1,1,1
010810406030,1,1,1,1,1
010810406040,1,1,1,1,1
010810407000,1,1,1,1,1
010810408000,1,1,1,1,1
010810409010,0,0,0,0,0
010810409020,0,1,1,0,0
010810410000,0,0,0,0,0
010810411000,0,1,1,0,0
010810412000,0,0,0,0,0
010810413000,0,0,0,0,0
010810414000,1,1,1,1,1
010810416000,1,1,1,1,1
010810417000,0,0,0,0,0
010810418000,0,0,0,0,0
010810419000,0,0,0,0,0
010810420020,0,0,0,0,0
010810420030,0,0,0,0,0
010810420040,0,0,0,0,0
010810420050,0,0,0,0,0
010810420060,0,0,0,0,0
010810421010,0,0,0,0,0
010810421020,0,0,0,0,0
010830201010,0,0,0,0,0
010830201020,0,0,0,0,0
010830202010,0,0,0,0,0
010830202020,0,0,0,0,0
010830203000,0,0,0,0,0
010830204010,0,0,0,0,0
010830204020,0,0,0,0,0
010830205000,1,1,1,1,1
010830206000,0,0,0,0,0
010830207000,0,0,0,0,0
010830208010,0,0,0,0,0
010830208020,0,0,0,0,0
010830209000,0,0,0,0,0
010830210000,0,0,0,0,0
010830211000,0,0,0,0,0
010830212000,0,0,0,0,0
010857808000,0,1,1,1,0
010857810000,1,1,1,1,1
010857811000,1,1,1,1,1
010857812000,1,1,1,1,1
010872314000,0,0,0,0,0
010872315000,1,1,1,1,1
010872316010,0,0,0,0,0
010872316020,1,1,1,1,1
010872316030,1,1,1,1,1
010872317000,0,1,0,1,0
010872318000,0,0,0,0,0
010872319000,1,1,1,1,1
010872320000,0,0,0,0,0
010872321000,0,0,0,0,0
010872322000,0,0,0,0,0
010872323000,1,1,1,1,1
010890002010,1,1,1,1,1
010890002020,1,1,1,1,1
010890003010,1,1,1,1,1
010890003020,1,1,1,1,1
010890004030,0,0,0,0,0
010890005010,0,0,0,0,0
010890005020,1,1,1,1,1
010890005030,0,0,0,0,0
010890006010,0,0,0,0,0
010890006020,0,0,0,0,0
010890007010,1,1,1,1,1
010890007020,1,1,1,1,1
010890009010,0,0,0,0,0
010890009020,0,0,0,0,0
010890010000,0,0,0,0,0
010890012000,1,1,1,1,1
010890013010,1,1,1,1,1
010890013020,1,1,1,1,1
010890014010,0,0,0,0,0
010890014020,0,0,0,0,0
010890015000,1,1,1,1,1
010890017000,0,0,0,0,0
010890018010,0,0,0,0,0
010890019010,0,0,0,0,0
010890019020,0,0,0,0,0
010890019030,0,0,0,0,0
010890020000,0,0,0,0,0
010890021000,1,1,1,1,1
010890022000,1,1,1,1,1
010890023000,1,1,1,1,1
010890024000,1,1,1,1,1
010890025010,1,1,1,1,1
010890025020,1,1,1,1,1
010890026000,0,0,0,0,0
010890027010,0,0,0,0,0
010890027210,0,0,0,0,0
010890027220,0,0,0,0,0
010890028010,0,0,0,0,0
010890028020,0,0,0,0,0
010890029110,0,0,0,0,0
010890029120,0,0,0,0,0
010890029210,0,0,0,0,0
010890029220,0,0,0,0,0
010890030000,1,1,1,1,1
010890031000,1,1,1,1,1
010890101000,0,0,0,0,0
010890102000,0,0,0,0,0
010890103010,0,0,0,0,0
010890103020,0,0,0,0,0
010890104010,0,0,0,0,0
010890104020,0,0,0,0,0
010890105010,0,0,0,0,0
010890105020,0,0,0,0,0
010890106120,0,0,0,0,0
010890106210,0,0,0,0,0
010890106220,0,0,0,0,0
010890106230,0,0,0,0,0
010890106240,0,0,0,0,0
010890107010,0,0,0,0,0
010890107020,0,0,0,0,0
010890108000,0,0,0,0,0
010890109010,0,0,0,0,0
010890109020,0,0,0,0,0
010890110110,0,0,0,0,0
010890110120,0,0,0,0,0
010890110130,0,0,0,0,0
010890110140,0,0,0,0,0
010890110210,0,0,0,0,0
010890110220,0,0,0,0,0
010890111000,0,0,0,0,0
010890112000,0,0,0,0,0
010890113000,0,0,0,0,0
010890114000,0,0,0,0,0
010919729000,1,1,1,1,1
010919730000,0,0,0,0,0
010919731000,0,0,0,0,0
010919732000,0,0,0,0,0
010919733000,0,0,0,0,0
010919734000,0,0,0,0,0
010939640000,1,1,1,1,1
010939641000,1,1,1,1,1
010939642000,0,0,0,0,0
010939643000,0,0,0,0,0
010939644000,0,0,0,0,0
010939645000,0,0,0,0,0
010939646000,0,0,0,0,0
010939647000,0,0,0,0,0
010950301000,0,0,0,0,0
010950302010,0,0,0,0,0
010950302020,0,0,0,0,0
010950303000,0,0,0,0,0
010950304010,0,0,0,0,0
010950304020,0,0,0,0,0
010950305000,0,0,0,0,0
010950306000,0,0,0,0,0
010950307010,0,0,0,0,0
010950307020,0,0,0,0,0
010950308010,0,0,0,0,0
010950308020,0,1,1,0,0
010950309020,0,0,0,0,0
010950309030,1,1,1,1,1
010950309040,0,0,0,0,0
010950310000,0,0,0,0,0
010950311000,1,1,1,1,1
010950312000,0,0,0,0,0
010970002000,0,1,0,1,0
010970004010,1,1,1,1,1
010970004020,1,1,1,1,1
010970005000,1,1,1,1,1
010970006000,1,1,1,1,1
010970007010,1,1,1,1,1
010970007020,1,1,1,1,1
010970008000,0,0,0,0,0
010970009010,0,0,0,0,0
010970009020,0,0,0,0,0
010970009030,0,0,0,0,0
010970010010,0,0,0,0,0
010970010020,0,0,0,0,0
010970011000,1,1,1,1,1
010970012000,1,1,1,1,1
010970013020,1,1,1,1,1
010970014000,1,1,1,1,1
010970015010,1,1,1,1,1
010970015020,1,1,1,1,1
010970018000,0,0,0,0,0
010970019010,0,1,1,0,0
010970019020,1,1,1,0,1
010970020000,0,0,0,0,0
010970021000,0,1,1,0,0
010970022000,1,1,1,1,1
010970023010,1,1,1,1,1
010970023020,1,1,1,1,1
010970024000,0,1,1,0,0
010970025010,0,0,0,0,0
010970025020,0,0,0,0,0
010970026000,1,1,1,1,1
010970027000,1,1,1,1,1
010970028000,0,1,1,0,0
010970029000,0,0,0,0,0
010970030000,0,0,0,0,0
010970031000,0,0,0,0,0
010970032020,0,0,0,0,0
010970032030,0,1,1,0,0
010970032040,0,0,0,0,0
010970032050,1,1,1,1,1
010970033010,0,0,0,0,0
010970033020,0,0,0,0,0
010970034020,0,0,0,0,0
010970034040,1,1,1,1,1
010970034050,0,0,0,0,0
010970034060,0,0,0,0,0
010970034070,0,0,0,0,0
010970034080,0,0,0,0,0
010970035010,0,0,0,0,0
010970035020,0,0,0,0,0
010970036020,1,1,1,1,1
010970036050,0,0,0,0,0
010970036060,0,0,0,0,0
010970036070,1,1,1,1,1
010970036080,0,0,0,0,0
010970037030,0,0,0,0,0
010970037040,0,0,0,0,0
010970037050,0,0,0,0,0
010970037060,0,0,0,0,0
010970037070,0,0,0,0,0
010970037080,0,0,0,0,0
010970037090,0,0,0,0,0
010970037100,0,0,0,0,0
010970038000,1,1,1,1,1
010970039010,1,1,1,1,1
010970039020,0,1,1,1,0
010970040000,1,1,1,1,1
010970041000,1,1,1,1,1
010970048000,1,1,1,1,1
010970049000,1,1,1,1,1
010970050000,0,0,0,0,0
010970051000,1,1,1,1,1
010970052000,0,0,0,0,0
010970053000,0,1,1,0,0
010970054000,0,0,0,0,0
010970055000,0,0,0,0,0
010970056000,0,0,0,0,0
010970057000,0,0,0,0,0
010970058000,0,0,0,0,0
010970059000,0,0,0,0,0
010970060000,0,0,0,0,0
010970061020,0,0,0,0,0
010970061030,0,0,0,0,0
010970061040,0,0,0,0,0
010970061050,0,0,0,0,0
010970062000,0,0,0,0,0
010970063010,0,0,0,0,0
010970063020,0,0,0,0,0
010970064020,0,0,0,0,0
010970064030,0,0,0,0,0
010970064040,0,0,0,0,0
010970064050,0,0,0,0,0
010970064060,0,0,0,0,0
010970064070,0,0,0,0,0
010970065010,0,0,0,0,0
010970065020,0,0,0,0,0
010970066000,0,0,0,0,0
010970067010,0,0,0,0,0
010970067020,0,0,0,0,0
010970068010,0,0,0,0,0
010970068020,0,0,0,0,0
010970069010,1,1,1,1,1
010970069020,0,0,0,0,0
010970070000,0,0,0,0,0
010970071010,0,0,0,0,0
010970071020,0,0,0,0,0
010970071030,0,0,0,0,0
010970072010,0,0,0,0,0
010970072020,0,0,0,0,0
010970073000,0,0,0,0,0
010970074000,1,1,1,1,1
010970075000,1,1,1,1,1
010970076000,1,1,1,1,1
010970077000,1,1,1,1,1
010979900000,0,0,0,0,0
010990756000,1,1,1,1,1
010990757000,1,1,1,1,1
010990758000,0,1,1,1,0
010990759000,0,1,1,0,0
010990760000,0,0,0,0,0
010990761000,0,0,0,0,0
010990762000,0,0,0,0,0
011010001000,1,1,1,1,1
011010002000,1,1,1,1,1
011010003000,0,1,1,1,0
011010004000,1,1,1,1,1
011010005000,1,1,1,1,1
011010006000,1,1,1,1,1
011010007000,1,1,1,1,1
011010009000,0,0,0,0,0
011010010000,1,1,1,1,1
011010011000,1,1,1,1,1
011010012000,1,1,1,1,1
011010013000,0,0,0,0,0
011010014000,0,0,0,0,0
011010015000,1,1,1,1,1
011010016000,1,1,1,1,1
011010017000,0,0,0,0,0
011010018000,0,0,0,0,0
011010019000,0,0,0,0,0
011010020000,0,0,0,0,0
011010021000,0,1,1,0,0
011010022010,1,1,1,1,1
011010022020,1,1,1,1,1
011010023000,1,1,1,1,1
011010024000,1,1,1,1,1
011010025000,1,1,1,1,1
011010026000,0,0,0,0,0
011010027000,0,0,0,0,0
011010028000,0,0,0,0,0
011010029000,0,0,0,0,0
011010030000,1,1,1,1,1
011010031000,0,0,0,0,0
011010032000,0,1,1,0,0
011010033010,0,0,0,0,0
011010033020,0,0,0,0,0
011010051010,0,0,0,0,0
011010051020,1,1,1,0,1
011010053010,0,0,0,0,0
011010053020,0,0,0,0,0
011010054020,0,0,0,0,0
011010054030,0,0,0,0,0
011010054060,0,0,0,0,0
011010054070,0,0,0,0,0
011010054080,0,0,0,0,0
011010054090,0,0,0,0,0
011010054100,0,0,0,0,0
011010055010,0,0,0,0,0
011010055020,0,0,0,0,0
011010055030,0,0,0,0,0
